ente,prestazione,priorita,max_giorni_di_attesa
ASSL1,Ecografia dell'addome completo,Breve,6
ASSL1,Ecografia bilaterale della mammella,Breve,4
ASSL1,Ecografia monolaterale della mammella,Breve,n/a
ASSL1,Ecografia ostetrica,Breve,n/a
ASSL1,Ecografia ginecologica,Breve,n/a
ASSL1,Ecocolordoppler degli arti superioro o inferiori,Breve,8
ASSL1,Colonscopia con endoscopio flessibile,Breve,10
ASSL1,Polipectomia endoscopica dell'intestino crasso,Breve,n/a
ASSL1,Sigmoidoscopia con endoscopio flessibile,Breve,n/a
ASSL1,Esofagogastroduodenoscopia,Breve,8
ASSL1,Esofagogastroduodenoscopia con biopsia,Breve,n/a
ASSL1,Elettrocardiogramma,Breve,3
ASSL1,Elettrocardiogramma dinamico (Holter),Breve,n/a
ASSL1,Test cardiovascolare da sforzo con cicloergonometro o con pedana mobile,Breve,n/a
ASSL1,Altri test cardiovascolari da sforzo,Breve,n/a
ASSL1,Esame audiometrico tonale,Breve,3
ASSL1,Spirometria semplice,Breve,n/a
ASSL1,Spirometria globale,Breve,8
ASSL1,Fotografia del Fondus,Breve,n/a
ASSL1,Elettromiografia semplice [EMG],Breve,n/a
ASSL1,Prima Visita cardiologica,Differibile,84
ASSL1,Prima Visita chirurgia vascolare,Differibile,170
ASSL1,Prima Visita endocrinologica,Differibile,n/a
ASSL1,Prima Visita neurologica,Differibile,67
ASSL1,Prima Visita oculistica,Differibile,185
ASSL1,Prima Visita ortopedica,Differibile,72
ASSL1,Prima Visita ginecologica,Differibile,26
ASSL1,Prima Visita otorinolaringoiatrica,Differibile,39
ASSL1,Prima Visita urologica,Differibile,158
ASSL1,Prima Visita dermatologica,Differibile,193
ASSL1,Prima Visita fisiatrica,Differibile,180
ASSL1,Prima Visita gastroenterologica,Differibile,7
ASSL1,Prima Visita oncologica,Differibile,n/a
ASSL1,Prima Visita pneumologica,Differibile,60
ASSL1,Mammografia bilaterale,Differibile,145
ASSL1,Mammografia monolaterale,Differibile,118
ASSL1,TC del torace,Differibile,102
ASSL1,"TC del torace, senza e con contrasto",Differibile,128
ASSL1,TC dell'addome superiore,Differibile,n/a
ASSL1,"TC dell'addome superiore, senza e con contrasto",Differibile,166
ASSL1,TC dell'Addome inferiore,Differibile,n/a
ASSL1,"TC dell'Addome inferiore, senza e con contrasto",Differibile,n/a
ASSL1,TC dell'Addome completo,Differibile,10
ASSL1,"TC dell'Addome completo, senza e con contrasto",Differibile,113
ASSL1,TC del cranio e dell'encefalo,Differibile,n/a
ASSL1,"TC del cranio e dell'encefalo, senza e con contrasto",Differibile,n/a
ASSL1,TC del rachide e dello speco vertebrale,Differibile,n/a
ASSL1,"TC del rachide e dello speco vertebrale, senza e con contrasto",Differibile,n/a
ASSL1,TC del Bacino,Differibile,6
ASSL1,RM del cervello e del tronco encefalico,Differibile,n/a
ASSL1,"RM del cervello e del tronco encefalico, senza e con contrasto",Differibile,8
ASSL1,RM dell'addome inferiore e scavo pelvico,Differibile,n/a
ASSL1,"RM dell'addome inferiore e scavo pelvico, senza e con contrasto",Differibile,n/a
ASSL1,RM della colonna,Differibile,n/a
ASSL1,"RM della colonna, senza e con contrasto",Differibile,1
ASSL1,Diagnostica ecografica del capo e del collo,Differibile,102
ASSL1,Eco (color) dopplergrafia cardiaca,Differibile,204
ASSL1,Eco (color) dopplergrafia  dei tronchi sovraaortici,Differibile,92
ASSL1,Ecografia dell'addome superiore,Differibile,55
ASSL1,Ecografia dell'addome inferiore,Differibile,110
ASSL1,Ecografia dell'addome completo,Differibile,56
ASSL1,Ecografia bilaterale della mammella,Differibile,153
ASSL1,Ecografia monolaterale della mammella,Differibile,n/a
ASSL1,Ecografia ostetrica,Differibile,n/a
ASSL1,Ecografia ginecologica,Differibile,33
ASSL1,Ecocolordoppler degli arti superioro o inferiori,Differibile,9
ASSL1,Colonscopia con endoscopio flessibile,Differibile,n/a
ASSL1,Polipectomia endoscopica dell'intestino crasso,Differibile,n/a
ASSL1,Sigmoidoscopia con endoscopio flessibile,Differibile,n/a
ASSL1,Esofagogastroduodenoscopia,Differibile,186
ASSL1,Esofagogastroduodenoscopia con biopsia,Differibile,n/a
ASSL1,Elettrocardiogramma,Differibile,84
ASSL1,Elettrocardiogramma dinamico (Holter),Differibile,n/a
ASSL1,Test cardiovascolare da sforzo con cicloergonometro o con pedana mobile,Differibile,n/a
ASSL1,Altri test cardiovascolari da sforzo,Differibile,n/a
ASSL1,Esame audiometrico tonale,Differibile,22
ASSL1,Spirometria semplice,Differibile,132
ASSL1,Spirometria globale,Differibile,152
ASSL1,Fotografia del Fondus,Differibile,52
ASSL1,Elettromiografia semplice [EMG],Differibile,n/a
ASSL1,Prima Visita cardiologica,Programmabile,87
ASSL1,Prima Visita chirurgia vascolare,Programmabile,n/a
ASSL1,Prima Visita endocrinologica,Programmabile,285
ASSL1,Prima Visita neurologica,Programmabile,70
ASSL1,Prima Visita oculistica,Programmabile,190
ASSL1,Prima Visita ortopedica,Programmabile,84
ASSL1,Prima Visita ginecologica,Programmabile,58
ASSL1,Prima Visita otorinolaringoiatrica,Programmabile,35
ASSL1,Prima Visita urologica,Programmabile,221
ASSL1,Prima Visita dermatologica,Programmabile,185
ASSL1,Prima Visita fisiatrica,Programmabile,119
ASSL1,Prima Visita gastroenterologica,Programmabile,n/a
ASSL1,Prima Visita oncologica,Programmabile,n/a
ASSL1,Prima Visita pneumologica,Programmabile,11
ASSL1,Mammografia bilaterale,Programmabile,125
ASSL1,Mammografia monolaterale,Programmabile,82
ASSL1,TC del torace,Programmabile,133
ASSL1,"TC del torace, senza e con contrasto",Programmabile,202
ASSL1,TC dell'addome superiore,Programmabile,n/a
ASSL1,"TC dell'addome superiore, senza e con contrasto",Programmabile,n/a
ASSL1,TC dell'Addome inferiore,Programmabile,n/a
ASSL1,"TC dell'Addome inferiore, senza e con contrasto",Programmabile,n/a
ASSL1,TC dell'Addome completo,Programmabile,2
ASSL1,"TC dell'Addome completo, senza e con contrasto",Programmabile,196
ASSL1,TC del cranio e dell'encefalo,Programmabile,121
ASSL1,"TC del cranio e dell'encefalo, senza e con contrasto",Programmabile,185
ASSL1,TC del rachide e dello speco vertebrale,Programmabile,n/a
ASSL1,"TC del rachide e dello speco vertebrale, senza e con contrasto",Programmabile,n/a
ASSL1,TC del Bacino,Programmabile,n/a
ASSL1,RM del cervello e del tronco encefalico,Programmabile,n/a
ASSL1,"RM del cervello e del tronco encefalico, senza e con contrasto",Programmabile,n/a
ASSL1,RM dell'addome inferiore e scavo pelvico,Programmabile,n/a
ASSL1,"RM dell'addome inferiore e scavo pelvico, senza e con contrasto",Programmabile,n/a
ASSL1,RM della colonna,Programmabile,n/a
ASSL1,"RM della colonna, senza e con contrasto",Programmabile,1
ASSL1,Diagnostica ecografica del capo e del collo,Programmabile,137
ASSL1,Eco (color) dopplergrafia cardiaca,Programmabile,206
ASSL1,Eco (color) dopplergrafia  dei tronchi sovraaortici,Programmabile,85
ASSL1,Ecografia dell'addome superiore,Programmabile,163
ASSL1,Ecografia dell'addome inferiore,Programmabile,123
ASSL1,Ecografia dell'addome completo,Programmabile,113
ASSL1,Ecografia bilaterale della mammella,Programmabile,114
ASSL1,Ecografia monolaterale della mammella,Programmabile,n/a
ASSL1,Ecografia ostetrica,Programmabile,n/a
ASSL1,Ecografia ginecologica,Programmabile,34
ASSL1,Ecocolordoppler degli arti superioro o inferiori,Programmabile,4
ASSL1,Colonscopia con endoscopio flessibile,Programmabile,n/a
ASSL1,Polipectomia endoscopica dell'intestino crasso,Programmabile,n/a
ASSL1,Sigmoidoscopia con endoscopio flessibile,Programmabile,n/a
ASSL1,Esofagogastroduodenoscopia,Programmabile,n/a
ASSL1,Esofagogastroduodenoscopia con biopsia,Programmabile,n/a
ASSL1,Elettrocardiogramma,Programmabile,97
ASSL1,Elettrocardiogramma dinamico (Holter),Programmabile,n/a
ASSL1,Test cardiovascolare da sforzo con cicloergonometro o con pedana mobile,Programmabile,n/a
ASSL1,Altri test cardiovascolari da sforzo,Programmabile,n/a
ASSL1,Esame audiometrico tonale,Programmabile,35
ASSL1,Spirometria semplice,Programmabile,63
ASSL1,Spirometria globale,Programmabile,248
ASSL1,Fotografia del Fondus,Programmabile,n/a
ASSL1,Elettromiografia semplice [EMG],Programmabile,n/a
ASSL2,Prima Visita cardiologica,Breve,8
ASSL2,Prima Visita chirurgia vascolare,Breve,n/a
ASSL2,Prima Visita endocrinologica,Breve,n/a
ASSL2,Prima Visita neurologica,Breve,7
ASSL2,Prima Visita oculistica,Breve,7
ASSL2,Prima Visita ortopedica,Breve,n/a
ASSL2,Prima Visita ginecologica,Breve,n/a
ASSL2,Prima Visita otorinolaringoiatrica,Breve,10
ASSL2,Prima Visita urologica,Breve,n/a
ASSL2,Prima Visita dermatologica,Breve,n/a
ASSL2,Prima Visita fisiatrica,Breve,3
ASSL2,Prima Visita gastroenterologica,Breve,n/a
ASSL2,Prima Visita oncologica,Breve,n/a
ASSL2,Prima Visita pneumologica,Breve,n/a
ASSL2,Mammografia bilaterale,Breve,n/a
ASSL2,Mammografia monolaterale,Breve,n/a
ASSL2,TC del torace,Breve,10
ASSL2,"TC del torace, senza e con contrasto",Breve,n/a
ASSL2,TC dell'addome superiore,Breve,n/a
ASSL2,"TC dell'addome superiore, senza e con contrasto",Breve,n/a
ASSL2,TC dell'Addome inferiore,Breve,n/a
ASSL2,"TC dell'Addome inferiore, senza e con contrasto",Breve,10
ASSL2,TC dell'Addome completo,Breve,8
ASSL2,"TC dell'Addome completo, senza e con contrasto",Breve,9
ASSL2,TC del cranio e dell'encefalo,Breve,n/a
ASSL2,"TC del cranio e dell'encefalo, senza e con contrasto",Breve,n/a
ASSL2,TC del rachide e dello speco vertebrale,Breve,n/a
ASSL2,"TC del rachide e dello speco vertebrale, senza e con contrasto",Breve,n/a
ASSL2,TC del Bacino,Breve,n/a
ASSL2,RM del cervello e del tronco encefalico,Breve,n/a
ASSL2,"RM del cervello e del tronco encefalico, senza e con contrasto",Breve,n/a
ASSL2,RM dell'addome inferiore e scavo pelvico,Breve,n/a
ASSL2,"RM dell'addome inferiore e scavo pelvico, senza e con contrasto",Breve,n/a
ASSL2,RM della colonna,Breve,n/a
ASSL2,"RM della colonna, senza e con contrasto",Breve,n/a
ASSL2,Diagnostica ecografica del capo e del collo,Breve,9
ASSL2,Eco (color) dopplergrafia cardiaca,Breve,n/a
ASSL2,Eco (color) dopplergrafia  dei tronchi sovraaortici,Breve,n/a
ASSL2,Ecografia dell'addome superiore,Breve,n/a
ASSL2,Ecografia dell'addome inferiore,Breve,n/a
ASSL2,Ecografia dell'addome completo,Breve,6
ASSL2,Ecografia bilaterale della mammella,Breve,n/a
ASSL2,Ecografia monolaterale della mammella,Breve,n/a
ASSL2,Ecografia ostetrica,Breve,n/a
ASSL2,Ecografia ginecologica,Breve,6
ASSL2,Ecocolordoppler degli arti superioro o inferiori,Breve,n/a
ASSL2,Colonscopia con endoscopio flessibile,Breve,9
ASSL2,Polipectomia endoscopica dell'intestino crasso,Breve,n/a
ASSL2,Sigmoidoscopia con endoscopio flessibile,Breve,n/a
ASSL2,Esofagogastroduodenoscopia,Breve,6
ASSL2,Esofagogastroduodenoscopia con biopsia,Breve,n/a
ASSL2,Elettrocardiogramma,Breve,8
ASSL2,Elettrocardiogramma dinamico (Holter),Breve,n/a
ASSL2,Test cardiovascolare da sforzo con cicloergonometro o con pedana mobile,Breve,n/a
ASSL2,Altri test cardiovascolari da sforzo,Breve,n/a
ASSL2,Esame audiometrico tonale,Breve,n/a
ASSL2,Spirometria semplice,Breve,n/a
ASSL2,Spirometria globale,Breve,n/a
ASSL2,Fotografia del Fondus,Breve,n/a
ASSL2,Elettromiografia semplice [EMG],Breve,n/a
ASSL2,Prima Visita cardiologica,Differibile,89
ASSL2,Prima Visita chirurgia vascolare,Differibile,n/a
ASSL2,Prima Visita endocrinologica,Differibile,335
ASSL2,Prima Visita neurologica,Differibile,42
ASSL2,Prima Visita oculistica,Differibile,132
ASSL2,Prima Visita ortopedica,Differibile,41
ASSL2,Prima Visita ginecologica,Differibile,53
ASSL2,Prima Visita otorinolaringoiatrica,Differibile,100
ASSL2,Prima Visita urologica,Differibile,n/a
ASSL2,Prima Visita dermatologica,Differibile,71
ASSL2,Prima Visita fisiatrica,Differibile,103
ASSL2,Prima Visita gastroenterologica,Differibile,n/a
ASSL2,Prima Visita oncologica,Differibile,n/a
ASSL2,Prima Visita pneumologica,Differibile,230
ASSL2,Mammografia bilaterale,Differibile,136
ASSL2,Mammografia monolaterale,Differibile,n/a
ASSL2,TC del torace,Differibile,42
ASSL2,"TC del torace, senza e con contrasto",Differibile,31
ASSL2,TC dell'addome superiore,Differibile,n/a
ASSL2,"TC dell'addome superiore, senza e con contrasto",Differibile,40
ASSL2,TC dell'Addome inferiore,Differibile,n/a
ASSL2,"TC dell'Addome inferiore, senza e con contrasto",Differibile,n/a
ASSL2,TC dell'Addome completo,Differibile,39
ASSL2,"TC dell'Addome completo, senza e con contrasto",Differibile,28
ASSL2,TC del cranio e dell'encefalo,Differibile,n/a
ASSL2,"TC del cranio e dell'encefalo, senza e con contrasto",Differibile,29
ASSL2,TC del rachide e dello speco vertebrale,Differibile,n/a
ASSL2,"TC del rachide e dello speco vertebrale, senza e con contrasto",Differibile,n/a
ASSL2,TC del Bacino,Differibile,n/a
ASSL2,RM del cervello e del tronco encefalico,Differibile,n/a
ASSL2,"RM del cervello e del tronco encefalico, senza e con contrasto",Differibile,n/a
ASSL2,RM dell'addome inferiore e scavo pelvico,Differibile,n/a
ASSL2,"RM dell'addome inferiore e scavo pelvico, senza e con contrasto",Differibile,n/a
ASSL2,RM della colonna,Differibile,n/a
ASSL2,"RM della colonna, senza e con contrasto",Differibile,n/a
ASSL2,Diagnostica ecografica del capo e del collo,Differibile,190
ASSL2,Eco (color) dopplergrafia cardiaca,Differibile,n/a
ASSL2,Eco (color) dopplergrafia  dei tronchi sovraaortici,Differibile,44
ASSL2,Ecografia dell'addome superiore,Differibile,140
ASSL2,Ecografia dell'addome inferiore,Differibile,151
ASSL2,Ecografia dell'addome completo,Differibile,124
ASSL2,Ecografia bilaterale della mammella,Differibile,122
ASSL2,Ecografia monolaterale della mammella,Differibile,n/a
ASSL2,Ecografia ostetrica,Differibile,n/a
ASSL2,Ecografia ginecologica,Differibile,96
ASSL2,Ecocolordoppler degli arti superioro o inferiori,Differibile,n/a
ASSL2,Colonscopia con endoscopio flessibile,Differibile,160
ASSL2,Polipectomia endoscopica dell'intestino crasso,Differibile,n/a
ASSL2,Sigmoidoscopia con endoscopio flessibile,Differibile,n/a
ASSL2,Esofagogastroduodenoscopia,Differibile,81
ASSL2,Esofagogastroduodenoscopia con biopsia,Differibile,317
ASSL2,Elettrocardiogramma,Differibile,89
ASSL2,Elettrocardiogramma dinamico (Holter),Differibile,n/a
ASSL2,Test cardiovascolare da sforzo con cicloergonometro o con pedana mobile,Differibile,n/a
ASSL2,Altri test cardiovascolari da sforzo,Differibile,n/a
ASSL2,Esame audiometrico tonale,Differibile,n/a
ASSL2,Spirometria semplice,Differibile,n/a
ASSL2,Spirometria globale,Differibile,n/a
ASSL2,Fotografia del Fondus,Differibile,n/a
ASSL2,Elettromiografia semplice [EMG],Differibile,n/a
ASSL2,Prima Visita cardiologica,Programmabile,178
ASSL2,Prima Visita chirurgia vascolare,Programmabile,n/a
ASSL2,Prima Visita endocrinologica,Programmabile,n/a
ASSL2,Prima Visita neurologica,Programmabile,76
ASSL2,Prima Visita oculistica,Programmabile,172
ASSL2,Prima Visita ortopedica,Programmabile,41
ASSL2,Prima Visita ginecologica,Programmabile,111
ASSL2,Prima Visita otorinolaringoiatrica,Programmabile,117
ASSL2,Prima Visita urologica,Programmabile,290
ASSL2,Prima Visita dermatologica,Programmabile,144
ASSL2,Prima Visita fisiatrica,Programmabile,n/a
ASSL2,Prima Visita gastroenterologica,Programmabile,n/a
ASSL2,Prima Visita oncologica,Programmabile,n/a
ASSL2,Prima Visita pneumologica,Programmabile,n/a
ASSL2,Mammografia bilaterale,Programmabile,136
ASSL2,Mammografia monolaterale,Programmabile,n/a
ASSL2,TC del torace,Programmabile,50
ASSL2,"TC del torace, senza e con contrasto",Programmabile,57
ASSL2,TC dell'addome superiore,Programmabile,n/a
ASSL2,"TC dell'addome superiore, senza e con contrasto",Programmabile,27
ASSL2,TC dell'Addome inferiore,Programmabile,n/a
ASSL2,"TC dell'Addome inferiore, senza e con contrasto",Programmabile,n/a
ASSL2,TC dell'Addome completo,Programmabile,22
ASSL2,"TC dell'Addome completo, senza e con contrasto",Programmabile,46
ASSL2,TC del cranio e dell'encefalo,Programmabile,n/a
ASSL2,"TC del cranio e dell'encefalo, senza e con contrasto",Programmabile,37
ASSL2,TC del rachide e dello speco vertebrale,Programmabile,n/a
ASSL2,"TC del rachide e dello speco vertebrale, senza e con contrasto",Programmabile,n/a
ASSL2,TC del Bacino,Programmabile,n/a
ASSL2,RM del cervello e del tronco encefalico,Programmabile,n/a
ASSL2,"RM del cervello e del tronco encefalico, senza e con contrasto",Programmabile,n/a
ASSL2,RM dell'addome inferiore e scavo pelvico,Programmabile,n/a
ASSL2,"RM dell'addome inferiore e scavo pelvico, senza e con contrasto",Programmabile,n/a
ASSL2,RM della colonna,Programmabile,n/a
ASSL2,"RM della colonna, senza e con contrasto",Programmabile,n/a
ASSL2,Diagnostica ecografica del capo e del collo,Programmabile,n/a
ASSL2,Eco (color) dopplergrafia cardiaca,Programmabile,n/a
ASSL2,Eco (color) dopplergrafia  dei tronchi sovraaortici,Programmabile,23
ASSL2,Ecografia dell'addome superiore,Programmabile,n/a
ASSL2,Ecografia dell'addome inferiore,Programmabile,137
ASSL2,Ecografia dell'addome completo,Programmabile,121
ASSL2,Ecografia bilaterale della mammella,Programmabile,113
ASSL2,Ecografia monolaterale della mammella,Programmabile,n/a
ASSL2,Ecografia ostetrica,Programmabile,14
ASSL2,Ecografia ginecologica,Programmabile,143
ASSL2,Ecocolordoppler degli arti superioro o inferiori,Programmabile,n/a
ASSL2,Colonscopia con endoscopio flessibile,Programmabile,n/a
ASSL2,Polipectomia endoscopica dell'intestino crasso,Programmabile,n/a
ASSL2,Sigmoidoscopia con endoscopio flessibile,Programmabile,n/a
ASSL2,Esofagogastroduodenoscopia,Programmabile,328
ASSL2,Esofagogastroduodenoscopia con biopsia,Programmabile,37
ASSL2,Elettrocardiogramma,Programmabile,177
ASSL2,Elettrocardiogramma dinamico (Holter),Programmabile,n/a
ASSL2,Test cardiovascolare da sforzo con cicloergonometro o con pedana mobile,Programmabile,n/a
ASSL2,Altri test cardiovascolari da sforzo,Programmabile,n/a
ASSL2,Esame audiometrico tonale,Programmabile,n/a
ASSL2,Spirometria semplice,Programmabile,n/a
ASSL2,Spirometria globale,Programmabile,n/a
ASSL2,Fotografia del Fondus,Programmabile,n/a
ASSL2,Elettromiografia semplice [EMG],Programmabile,68
ASSL3,Prima Visita cardiologica,Breve,5
ASSL3,Prima Visita chirurgia vascolare,Breve,n/a
ASSL3,Prima Visita endocrinologica,Breve,n/a
ASSL3,Prima Visita neurologica,Breve,9
ASSL3,Prima Visita oculistica,Breve,7
ASSL3,Prima Visita ortopedica,Breve,9
ASSL3,Prima Visita ginecologica,Breve,n/a
ASSL3,Prima Visita otorinolaringoiatrica,Breve,n/a
ASSL3,Prima Visita urologica,Breve,n/a
ASSL3,Prima Visita dermatologica,Breve,59
ASSL3,Prima Visita fisiatrica,Breve,8
ASSL3,Prima Visita gastroenterologica,Breve,n/a
ASSL3,Prima Visita oncologica,Breve,n/a
ASSL3,Prima Visita pneumologica,Breve,9
ASSL3,Mammografia bilaterale,Breve,8
ASSL3,Mammografia monolaterale,Breve,n/a
ASSL3,TC del torace,Breve,n/a
ASSL3,"TC del torace, senza e con contrasto",Breve,n/a
ASSL3,TC dell'addome superiore,Breve,n/a
ASSL3,"TC dell'addome superiore, senza e con contrasto",Breve,n/a
ASSL3,TC dell'Addome inferiore,Breve,n/a
ASSL3,"TC dell'Addome inferiore, senza e con contrasto",Breve,n/a
ASSL3,TC dell'Addome completo,Breve,n/a
ASSL3,"TC dell'Addome completo, senza e con contrasto",Breve,n/a
ASSL3,TC del cranio e dell'encefalo,Breve,9
ASSL3,"TC del cranio e dell'encefalo, senza e con contrasto",Breve,n/a
ASSL3,TC del rachide e dello speco vertebrale,Breve,n/a
ASSL3,"TC del rachide e dello speco vertebrale, senza e con contrasto",Breve,n/a
ASSL3,TC del Bacino,Breve,n/a
ASSL3,RM del cervello e del tronco encefalico,Breve,10
ASSL3,"RM del cervello e del tronco encefalico, senza e con contrasto",Breve,3
ASSL3,RM dell'addome inferiore e scavo pelvico,Breve,n/a
ASSL3,"RM dell'addome inferiore e scavo pelvico, senza e con contrasto",Breve,n/a
ASSL3,RM della colonna,Breve,n/a
ASSL3,"RM della colonna, senza e con contrasto",Breve,n/a
ASSL3,Diagnostica ecografica del capo e del collo,Breve,9
ASSL3,Eco (color) dopplergrafia cardiaca,Breve,n/a
ASSL3,Eco (color) dopplergrafia  dei tronchi sovraaortici,Breve,9
ASSL3,Ecografia dell'addome superiore,Breve,2
ASSL3,Ecografia dell'addome inferiore,Breve,n/a
ASSL3,Ecografia dell'addome completo,Breve,8
ASSL3,Ecografia bilaterale della mammella,Breve,7
ASSL3,Ecografia monolaterale della mammella,Breve,5
ASSL3,Ecografia ostetrica,Breve,n/a
ASSL3,Ecografia ginecologica,Breve,8
ASSL3,Ecocolordoppler degli arti superioro o inferiori,Breve,9
ASSL3,Colonscopia con endoscopio flessibile,Breve,10
ASSL3,Polipectomia endoscopica dell'intestino crasso,Breve,n/a
ASSL3,Sigmoidoscopia con endoscopio flessibile,Breve,n/a
ASSL3,Esofagogastroduodenoscopia,Breve,177
ASSL3,Esofagogastroduodenoscopia con biopsia,Breve,n/a
ASSL3,Elettrocardiogramma,Breve,3
ASSL3,Elettrocardiogramma dinamico (Holter),Breve,n/a
ASSL3,Test cardiovascolare da sforzo con cicloergonometro o con pedana mobile,Breve,n/a
ASSL3,Altri test cardiovascolari da sforzo,Breve,n/a
ASSL3,Esame audiometrico tonale,Breve,n/a
ASSL3,Spirometria semplice,Breve,n/a
ASSL3,Spirometria globale,Breve,8
ASSL3,Fotografia del Fondus,Breve,n/a
ASSL3,Elettromiografia semplice [EMG],Breve,n/a
ASSL3,Prima Visita cardiologica,Differibile,106
ASSL3,Prima Visita chirurgia vascolare,Differibile,115
ASSL3,Prima Visita endocrinologica,Differibile,401
ASSL3,Prima Visita neurologica,Differibile,148
ASSL3,Prima Visita oculistica,Differibile,222
ASSL3,Prima Visita ortopedica,Differibile,102
ASSL3,Prima Visita ginecologica,Differibile,19
ASSL3,Prima Visita otorinolaringoiatrica,Differibile,61
ASSL3,Prima Visita urologica,Differibile,326
ASSL3,Prima Visita dermatologica,Differibile,140
ASSL3,Prima Visita fisiatrica,Differibile,83
ASSL3,Prima Visita gastroenterologica,Differibile,n/a
ASSL3,Prima Visita oncologica,Differibile,278
ASSL3,Prima Visita pneumologica,Differibile,163
ASSL3,Mammografia bilaterale,Differibile,108
ASSL3,Mammografia monolaterale,Differibile,n/a
ASSL3,TC del torace,Differibile,61
ASSL3,"TC del torace, senza e con contrasto",Differibile,42
ASSL3,TC dell'addome superiore,Differibile,n/a
ASSL3,"TC dell'addome superiore, senza e con contrasto",Differibile,n/a
ASSL3,TC dell'Addome inferiore,Differibile,n/a
ASSL3,"TC dell'Addome inferiore, senza e con contrasto",Differibile,n/a
ASSL3,TC dell'Addome completo,Differibile,73
ASSL3,"TC dell'Addome completo, senza e con contrasto",Differibile,48
ASSL3,TC del cranio e dell'encefalo,Differibile,n/a
ASSL3,"TC del cranio e dell'encefalo, senza e con contrasto",Differibile,n/a
ASSL3,TC del rachide e dello speco vertebrale,Differibile,n/a
ASSL3,"TC del rachide e dello speco vertebrale, senza e con contrasto",Differibile,n/a
ASSL3,TC del Bacino,Differibile,75
ASSL3,RM del cervello e del tronco encefalico,Differibile,554
ASSL3,"RM del cervello e del tronco encefalico, senza e con contrasto",Differibile,459
ASSL3,RM dell'addome inferiore e scavo pelvico,Differibile,n/a
ASSL3,"RM dell'addome inferiore e scavo pelvico, senza e con contrasto",Differibile,n/a
ASSL3,RM della colonna,Differibile,129
ASSL3,"RM della colonna, senza e con contrasto",Differibile,n/a
ASSL3,Diagnostica ecografica del capo e del collo,Differibile,118
ASSL3,Eco (color) dopplergrafia cardiaca,Differibile,148
ASSL3,Eco (color) dopplergrafia  dei tronchi sovraaortici,Differibile,105
ASSL3,Ecografia dell'addome superiore,Differibile,73
ASSL3,Ecografia dell'addome inferiore,Differibile,93
ASSL3,Ecografia dell'addome completo,Differibile,99
ASSL3,Ecografia bilaterale della mammella,Differibile,70
ASSL3,Ecografia monolaterale della mammella,Differibile,n/a
ASSL3,Ecografia ostetrica,Differibile,25
ASSL3,Ecografia ginecologica,Differibile,28
ASSL3,Ecocolordoppler degli arti superioro o inferiori,Differibile,91
ASSL3,Colonscopia con endoscopio flessibile,Differibile,580
ASSL3,Polipectomia endoscopica dell'intestino crasso,Differibile,n/a
ASSL3,Sigmoidoscopia con endoscopio flessibile,Differibile,n/a
ASSL3,Esofagogastroduodenoscopia,Differibile,255
ASSL3,Esofagogastroduodenoscopia con biopsia,Differibile,n/a
ASSL3,Elettrocardiogramma,Differibile,75
